,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Construction_Laborers,similar_Construction_Laborers,empl_Construction_Laborers,auto_Construction_Laborers
446,"Mixing and Blending Machine Setters, Operators, and Tenders",0.83,37630,130480,"Mixing and Blending Machine Setters, Operators, and Tenders",0.00690938081318,0.435917551,1.0,0.88
447,"Helpers-Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.83,33610,23950,"Helpers-Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.127343052663,0.511087122,1.0,0.88
448,Segmental Pavers,0.83,34160,1720,Segmental Pavers,0.109192037471,0.521169557,1.0,0.88
449,"Insulation Workers, Floor, Ceiling, and Wall",0.83,39490,29500,"Insulation Workers, Floor, Ceiling, and Wall",-0.0405165864776,0.53464926,1.0,0.88
450,Printing Press Operators,0.83,37460,169910,Printing Press Operators,0.0114789108382,0.373591055,1.0,0.88
451,Automotive and Watercraft Service Attendants,0.83,24280,109790,Automotive and Watercraft Service Attendants,0.560543657331,0.421677058,1.0,0.88
452,Septic Tank Servicers and Sewer Pipe Cleaners,0.83,38870,26320,Septic Tank Servicers and Sewer Pipe Cleaners,-0.025212245948,0.608073252,1.0,0.88
453,Baggage Porters and Bellhops,0.83,24910,44750,Baggage Porters and Bellhops,0.521075873143,0.356272934,1.0,0.88
454,Gaming Change Persons and Booth Cashiers,0.83,25940,23120,Gaming Change Persons and Booth Cashiers,0.46067848882,0.36216681,1.0,0.88
455,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.83,41900,29060,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-0.0957040572792,0.382873933,1.0,0.88
456,"Paving, Surfacing, and Tamping Equipment Operators",0.83,43800,51880,"Paving, Surfacing, and Tamping Equipment Operators",-0.134931506849,0.659306221,1.0,0.88
457,Tool and Die Makers,0.84,51610,72210,Tool and Die Makers,-0.265839953497,0.399501047,1.0,0.88
458,Electrical and Electronics Engineering Technicians,0.84,62950,134870,Electrical and Electronics Engineering Technicians,-0.398093725179,0.366417584,1.0,0.88
459,Plasterers and Stucco Masons,0.84,44070,22810,Plasterers and Stucco Masons,-0.140231449966,0.586447837,1.0,0.88
460,"Layout Workers, Metal and Plastic",0.84,47720,9070,"Layout Workers, Metal and Plastic",-0.205993294216,0.496799824,1.0,0.88
461,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.84,39630,33850,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.0439061317184,0.456240221,1.0,0.88
462,Security Guards,0.84,29730,1103120,Security Guards,0.274470232089,0.379457443,0.826836608891,0.88
463,"Tailors, Dressmakers, and Custom Sewers",0.84,30670,21660,"Tailors, Dressmakers, and Custom Sewers",0.235409194653,0.468115253,1.0,0.88
464,Wellhead Pumpers,0.84,50730,11610,Wellhead Pumpers,-0.253104671792,0.496831148,1.0,0.88
465,Proofreaders and Copy Markers,0.84,39640,11430,Proofreaders and Copy Markers,-0.0441473259334,0.235132477,1.0,0.88
466,Parking Enforcement Workers,0.84,39650,8920,Parking Enforcement Workers,-0.0443883984868,0.485676978,1.0,0.88
467,"Laborers and Freight, Stock, and Material Movers, Hand",0.85,28720,2587900,"Laborers and Freight, Stock, and Material Movers, Hand",0.319289693593,0.394866356,0.352447930755,0.88
468,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.85,68410,1404050,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",-0.446133606198,0.283183206,0.649620740002,0.88
469,"Meter Readers, Utilities",0.85,41890,34070,"Meter Readers, Utilities",-0.0954881833373,0.539403201,1.0,0.88
470,Power Plant Operators,0.85,73800,35010,Power Plant Operators,-0.486585365854,0.40023516,1.0,0.88
471,Chemical Plant and System Operators,0.85,59430,33300,Chemical Plant and System Operators,-0.3624432105,0.371063781,1.0,0.88
472,"Earth Drillers, Except Oil and Gas",0.85,51240,18500,"Earth Drillers, Except Oil and Gas",-0.260538641686,0.544898125,1.0,0.88
473,Nuclear Technicians,0.85,77820,6840,Nuclear Technicians,-0.513107170393,0.388533471,1.0,0.88
474,Executive Secretaries and Executive Administrative Assistants,0.86,57910,631610,Executive Secretaries and Executive Administrative Assistants,-0.345708858574,0.252075363,1.0,0.88
475,"Plant and System Operators, All Other",0.86,55340,11970,"Plant and System Operators, All Other",-0.315323455005,0.478162071,1.0,0.88
476,"Food Servers, Nonrestaurant",0.86,23490,261520,"Food Servers, Nonrestaurant",0.613026819923,0.334459448,1.0,0.88
477,"Sawing Machine Setters, Operators, and Tenders, Wood",0.86,29960,50640,"Sawing Machine Setters, Operators, and Tenders, Wood",0.264686248331,0.372450282,1.0,0.88
478,Subway and Streetcar Operators,0.86,62380,12350,Subway and Streetcar Operators,-0.392593780058,0.382769927,1.0,0.88
479,Veterinary Assistants and Laboratory Animal Caretakers,0.86,26810,79990,Veterinary Assistants and Laboratory Animal Caretakers,0.413278627378,0.340101823,1.0,0.88
480,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.86,34000,61330,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.114411764706,0.407594457,1.0,0.88
481,Real Estate Sales Agents,0.86,59360,151840,Real Estate Sales Agents,-0.361691374663,0.282988586,1.0,0.88
482,"Computer-Controlled Machine Tool Operators, Metal and Plastic",0.86,39590,146190,"Computer-Controlled Machine Tool Operators, Metal and Plastic",-0.0429401363981,0.393315934,1.0,0.88
483,"Maintenance Workers, Machinery",0.86,46000,89630,"Maintenance Workers, Machinery",-0.176304347826,0.49992225,1.0,0.88
484,Correspondence Clerks,0.86,37660,6780,Correspondence Clerks,0.006107275624,0.285120271,1.0,0.88
485,Forest and Conservation Workers,0.87,31200,7170,Forest and Conservation Workers,0.214423076923,0.456135556,1.0,0.88
486,"Pourers and Casters, Metal",0.87,37300,8560,"Pourers and Casters, Metal",0.01581769437,0.355752297,1.0,0.88
487,Carpet Installers,0.87,44310,25660,Carpet Installers,-0.144888287068,0.570309425,1.0,0.88
488,Paperhangers,0.87,36470,3190,Paperhangers,0.0389361118728,0.566395685,1.0,0.88
489,"Buyers and Purchasing Agents, Farm Products",0.87,63910,11490,"Buyers and Purchasing Agents, Farm Products",-0.407135033641,0.315526774,1.0,0.88
490,Furniture Finishers,0.87,32330,17370,Furniture Finishers,0.171976492422,0.529685192,1.0,0.88
491,Food Preparation Workers,0.87,22920,850670,Food Preparation Workers,0.653141361257,0.446996834,1.0,0.88
492,Floor Sanders and Finishers,0.87,38890,4590,Floor Sanders and Finishers,-0.0257135510414,0.593116199,1.0,0.88
493,Parking Lot Attendants,0.87,23250,146350,Parking Lot Attendants,0.629677419355,0.42092594,1.0,0.88
494,Highway Maintenance Workers,0.87,39540,143320,Highway Maintenance Workers,-0.0417298937785,0.692469159,1.0,0.88
495,Construction Laborers,0.88,37890,912100,Construction Laborers,0.0,0.0,1.0,0.88
496,"Production, Planning, and Expediting Clerks",0.88,49050,321780,"Production, Planning, and Expediting Clerks",-0.22752293578,0.364927689,1.0,0.88
497,Semiconductor Processors,0.88,37890,24430,Semiconductor Processors,0.0,0.437682565,1.0,0.88
498,Cartographers and Photogrammetrists,0.88,66160,12100,Cartographers and Photogrammetrists,-0.427297460701,0.294556593,1.0,0.88
499,Metal-Refining Furnace Operators and Tenders,0.88,41840,17730,Metal-Refining Furnace Operators and Tenders,-0.0944072657744,0.38658309,1.0,0.88
500,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.88,41450,47160,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-0.0858866103739,0.46969313,1.0,0.88
501,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.88,35420,19340,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.0697346132129,0.400470172,1.0,0.88
502,Terrazzo Workers and Finishers,0.88,45990,3420,Terrazzo Workers and Finishers,-0.176125244618,0.578594095,1.0,0.88
503,"Tool Grinders, Filers, and Sharpeners",0.88,38860,9550,"Tool Grinders, Filers, and Sharpeners",-0.0249613998971,0.430155152,1.0,0.88
504,Rail Car Repairers,0.88,53590,22090,Rail Car Repairers,-0.29296510543,0.465905464,1.0,0.88
505,Bakers,0.89,27110,180450,Bakers,0.39763924751,0.44510798,1.0,0.88
506,Medical Transcriptionists,0.89,37150,54070,Medical Transcriptionists,0.0199192462988,0.214846183,1.0,0.88
507,Stonemasons,0.89,43650,13190,Stonemasons,-0.131958762887,0.466987069,1.0,0.88
508,"Bus Drivers, School or Special Client",0.89,31110,515020,"Bus Drivers, School or Special Client",0.21793635487,0.344009558,1.0,0.88
509,Technical Writers,0.89,73160,49780,Technical Writers,-0.482094040459,0.299243691,1.0,0.88
510,Riggers,0.89,49030,21020,Riggers,-0.22720783194,0.615901225,1.0,0.88
511,Rail-Track Laying and Maintenance Equipment Operators,0.89,52810,14250,Rail-Track Laying and Maintenance Equipment Operators,-0.282522249574,0.633138366,1.0,0.88
512,Stationary Engineers and Boiler Operators,0.89,61410,33720,Stationary Engineers and Boiler Operators,-0.38299951148,0.443865722,1.0,0.88
513,Sewing Machine Operators,0.89,25830,139500,Sewing Machine Operators,0.466898954704,0.347573098,1.0,0.88
514,Taxi Drivers and Chauffeurs,0.89,26790,188860,Taxi Drivers and Chauffeurs,0.414333706607,0.395075882,1.0,0.88
515,"Human Resources Assistants, Except Payroll and Timekeeping",0.9,40100,137150,"Human Resources Assistants, Except Payroll and Timekeeping",-0.0551122194514,0.254897927,1.0,0.88
516,Medical and Clinical Laboratory Technologists,0.9,62440,166730,Medical and Clinical Laboratory Technologists,-0.393177450352,0.310637731,1.0,0.88
517,Reinforcing Iron and Rebar Workers,0.9,53600,20020,Reinforcing Iron and Rebar Workers,-0.293097014925,0.581447465,1.0,0.88
518,Roofers,0.9,42080,116410,Roofers,-0.099572243346,0.694755697,1.0,0.88
519,Crane and Tower Operators,0.9,55280,45020,Crane and Tower Operators,-0.314580318379,0.538779873,1.0,0.88
520,Traffic Technicians,0.9,48650,6410,Traffic Technicians,-0.221171634121,0.425721944,1.0,0.88
521,Transportation Inspectors,0.9,72650,27430,Transportation Inspectors,-0.47845836201,0.508772464,1.0,0.88
522,"Patternmakers, Metal and Plastic",0.9,44490,3420,"Patternmakers, Metal and Plastic",-0.148347943358,0.394996039,1.0,0.88
523,"Molders, Shapers, and Casters, Except Metal and Plastic",0.9,32590,39450,"Molders, Shapers, and Casters, Except Metal and Plastic",0.162626572568,0.549371977,1.0,0.88
524,Appraisers and Assessors of Real Estate,0.9,58030,60770,Appraisers and Assessors of Real Estate,-0.347061864553,0.347905015,1.0,0.88
525,"Pump Operators, Except Wellhead Pumpers",0.9,46270,12030,"Pump Operators, Except Wellhead Pumpers",-0.181110870975,0.489981549,1.0,0.88
526,Signal and Track Switch Repairers,0.9,62710,8680,Signal and Track Switch Repairers,-0.395790145112,0.316032801,1.0,0.88
527,Gaming and Sports Book Writers and Runners,0.91,25710,11460,Gaming and Sports Book Writers and Runners,0.473745624271,0.346999465,1.0,0.88
528,Musical Instrument Repairers and Tuners,0.91,37690,7980,Musical Instrument Repairers and Tuners,0.00530644733351,0.359840314,1.0,0.88
529,Tour Guides and Escorts,0.91,28100,38660,Tour Guides and Escorts,0.348398576512,0.339148994,1.0,0.88
530,Mechanical Door Repairers,0.91,40420,19840,Mechanical Door Repairers,-0.0625927758535,0.46440801,1.0,0.88
531,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.91,30970,20080,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.223442040685,0.401443471,1.0,0.88
532,Gas Compressor and Gas Pumping Station Operators,0.91,59620,3890,Gas Compressor and Gas Pumping Station Operators,-0.364475008386,0.459482594,1.0,0.88
533,Medical Records and Health Information Technicians,0.91,41460,200140,Medical Records and Health Information Technicians,-0.0861070911722,0.304765158,1.0,0.88
534,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.91,34460,85760,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.0995356935577,0.337905439,1.0,0.88
535,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.91,36190,117300,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0469743022935,0.465564261,1.0,0.88
536,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.91,52320,4530,"Rail Yard Engineers, Dinkey Operators, and Hostlers",-0.275802752294,0.407678879,1.0,0.88
537,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.91,59840,13960,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.366811497326,0.50851572,1.0,0.88
538,Dining Room and Cafeteria Attendants and Bartender Helpers,0.91,22340,423080,Dining Room and Cafeteria Attendants and Bartender Helpers,0.69606087735,0.364508785,1.0,0.88
539,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.91,39010,19780,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-0.028710587029,0.434356186,1.0,0.88
540,Geological and Petroleum Technicians,0.91,62240,15100,Geological and Petroleum Technicians,-0.391227506427,0.419987755,1.0,0.88
541,Automotive Body and Related Repairers,0.91,45180,143940,Automotive Body and Related Repairers,-0.161354581673,0.45698737,1.0,0.88
542,"Patternmakers, Wood",0.91,47850,970,"Patternmakers, Wood",-0.208150470219,0.382278909,1.0,0.88
543,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.91,35340,71960,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.072156196944,0.387073927,1.0,0.88
544,Pharmacy Technicians,0.92,32170,398390,Pharmacy Technicians,0.177805408766,0.320022045,1.0,0.88
545,Loan Interviewers and Clerks,0.92,40300,224340,Loan Interviewers and Clerks,-0.0598014888337,0.245955007,1.0,0.88
546,Dredge Operators,0.92,46530,1760,Dredge Operators,-0.185686653772,0.477493318,1.0,0.88
547,Insurance Sales Agents,0.92,67760,385700,Insurance Sales Agents,-0.440820543093,0.23612846,1.0,0.88
548,Cabinetmakers and Bench Carpenters,0.92,34800,97980,Cabinetmakers and Bench Carpenters,0.0887931034483,0.446532539,1.0,0.88
549,"Painting, Coating, and Decorating Workers",0.92,32040,15450,"Painting, Coating, and Decorating Workers",0.182584269663,0.369346985,1.0,0.88
550,Fence Erectors,0.92,36380,21500,Fence Erectors,0.041506322155,0.488497295,1.0,0.88
551,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0.92,33690,35570,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0.124666073019,0.587522216,1.0,0.88
552,Retail Salespersons,0.92,27180,4528550,Retail Salespersons,0.394039735099,0.34640314,0.201411047686,0.88
553,"Combined Food Preparation and Serving Workers, Including Fast Food",0.92,20460,3426090,"Combined Food Preparation and Serving Workers, Including Fast Food",0.851906158358,0.369222311,0.266221844727,0.88
554,Helpers-Carpenters,0.92,30200,35890,Helpers-Carpenters,0.254635761589,0.670423992,1.0,0.88
555,Cooling and Freezing Equipment Operators and Tenders,0.93,32100,8170,Cooling and Freezing Equipment Operators and Tenders,0.180373831776,0.454272798,1.0,0.88
556,Fiberglass Laminators and Fabricators,0.93,33020,19400,Fiberglass Laminators and Fabricators,0.147486371896,0.468294631,1.0,0.88
557,"Service Unit Operators, Oil, Gas, and Mining",0.93,53520,42890,"Service Unit Operators, Oil, Gas, and Mining",-0.292040358744,0.448952295,1.0,0.88
558,Conveyor Operators and Tenders,0.93,33870,28590,Conveyor Operators and Tenders,0.118689105403,0.3391412,1.0,0.88
559,Outdoor Power Equipment and Other Small Engine Mechanics,0.93,35320,33020,Outdoor Power Equipment and Other Small Engine Mechanics,0.0727633069083,0.453650966,1.0,0.88
560,Locomotive Firers,0.93,63750,1210,Locomotive Firers,-0.405647058824,0.408334219,1.0,0.88
561,Machine Feeders and Offbearers,0.93,30490,88070,Machine Feeders and Offbearers,0.242702525418,0.488996006,1.0,0.88
562,"Model Makers, Metal and Plastic",0.93,50360,6250,"Model Makers, Metal and Plastic",-0.247617156473,0.346894591,1.0,0.88
563,"Radio, Cellular, and Tower Equipment Installers and Repairs",0.93,53620,14120,"Radio, Cellular, and Tower Equipment Installers and Repairs",-0.293360686311,0.397868069,1.0,0.88
564,Butchers and Meat Cutters,0.93,31740,133880,Butchers and Meat Cutters,0.193761814745,0.347112461,1.0,0.88
565,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.93,34370,71260,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.102414896712,0.51204015,1.0,0.88
566,Refuse and Recyclable Material Collectors,0.93,37690,114680,Refuse and Recyclable Material Collectors,0.00530644733351,0.506986823,1.0,0.88
567,"Tax Examiners and Collectors, and Revenue Agents",0.93,57950,58450,"Tax Examiners and Collectors, and Revenue Agents",-0.346160483175,0.274481589,1.0,0.88
568,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.93,38710,19160,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",-0.021183156807,0.547706406,1.0,0.88
569,Industrial Truck and Tractor Operators,0.93,34260,542750,Industrial Truck and Tractor Operators,0.105954465849,0.498908249,1.0,0.88
570,Accountants and Auditors,0.94,76730,1246540,Accountants and Auditors,-0.506190538251,0.225987092,0.731705360438,0.88
571,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.94,38880,12290,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.025462962963,0.471814264,1.0,0.88
572,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.94,30580,91530,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.239045127534,0.366153947,1.0,0.88
573,Waiters and Waitresses,0.94,24410,2564610,Waiters and Waitresses,0.55223269152,0.308974429,0.355648617139,0.88
574,"Meat, Poultry, and Fish Cutters and Trimmers",0.94,25510,149800,"Meat, Poultry, and Fish Cutters and Trimmers",0.485299882399,0.509656793,1.0,0.88
575,Budget Analysts,0.94,77170,54700,Budget Analysts,-0.50900609045,0.226934032,1.0,0.88
576,Cement Masons and Concrete Finishers,0.94,43720,173920,Cement Masons and Concrete Finishers,-0.133348581885,0.621574367,1.0,0.88
577,Bicycle Repairers,0.94,28520,12560,Bicycle Repairers,0.328541374474,0.41177942,1.0,0.88
578,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.94,34860,33600,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.0869191049914,0.405013772,1.0,0.88
579,"Welders, Cutters, Solderers, and Brazers",0.94,42450,382730,"Welders, Cutters, Solderers, and Brazers",-0.1074204947,0.465077234,1.0,0.88
580,Couriers and Messengers,0.94,29920,74120,Couriers and Messengers,0.266377005348,0.325692716,1.0,0.88
581,"Interviewers, Except Eligibility and Loan",0.94,33640,186030,"Interviewers, Except Eligibility and Loan",0.126337693222,0.320890227,1.0,0.88
582,"Cooks, Short Order",0.94,23130,183990,"Cooks, Short Order",0.63813229572,0.375194217,1.0,0.88
583,Excavating and Loading Machine and Dragline Operators,0.94,45230,48320,Excavating and Loading Machine and Dragline Operators,-0.162281671457,0.481087438,1.0,0.88
584,"Helpers-Painters, Paperhangers, Plasterers, and Stucco Masons",0.94,28760,10780,"Helpers-Painters, Paperhangers, Plasterers, and Stucco Masons",0.317454798331,0.42030005,1.0,0.88
585,"Hotel, Motel, and Resort Desk Clerks",0.94,23530,248440,"Hotel, Motel, and Resort Desk Clerks",0.610284742881,0.351325287,1.0,0.88
586,Tire Builders,0.94,42230,22280,Tire Builders,-0.102770542269,0.412112854,1.0,0.88
587,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.94,28630,8040,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.323436954244,0.233837373,1.0,0.88
588,First-Line Supervisors of Housekeeping and Janitorial Workers,0.94,41240,161140,First-Line Supervisors of Housekeeping and Janitorial Workers,-0.081231813773,0.453625093,1.0,0.88
589,Agricultural Inspectors,0.94,44260,14710,Agricultural Inspectors,-0.143922277451,0.368750951,1.0,0.88
590,Paralegals and Legal Assistants,0.94,53180,277310,Paralegals and Legal Assistants,-0.287514103046,0.245012525,1.0,0.88
591,Manicurists and Pedicurists,0.95,24330,90630,Manicurists and Pedicurists,0.557336621455,0.381215553,1.0,0.88
592,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.95,31080,74460,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.219111969112,0.323798779,1.0,0.88
593,"Textile Cutting Machine Setters, Operators, and Tenders",0.95,27860,15040,"Textile Cutting Machine Setters, Operators, and Tenders",0.360014357502,0.410375801,1.0,0.88
594,Bill and Account Collectors,0.95,37620,298960,Bill and Account Collectors,0.00717703349282,0.259168855,1.0,0.88
595,Nuclear Power Reactor Operators,0.95,91370,7170,Nuclear Power Reactor Operators,-0.585312465798,0.310095643,1.0,0.88
596,Gaming Surveillance Officers and Gaming Investigators,0.95,35280,10460,Gaming Surveillance Officers and Gaming Investigators,0.0739795918367,0.367289776,1.0,0.88
597,"Library Assistants, Clerical",0.95,27450,98560,"Library Assistants, Clerical",0.380327868852,0.299217563,1.0,0.88
598,Operating Engineers and Other Construction Equipment Operators,0.95,50560,356750,Operating Engineers and Other Construction Equipment Operators,-0.25059335443,0.573917251,1.0,0.88
599,Print Binding and Finishing Workers,0.95,33270,52730,Print Binding and Finishing Workers,0.138863841298,0.419175579,1.0,0.88
600,Animal Breeders,0.95,42340,1270,Animal Breeders,-0.10510155881,0.416635598,1.0,0.88
601,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.95,32660,145560,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.160134721372,0.40479483,1.0,0.88
602,Electrical and Electronic Equipment Assemblers,0.95,33700,218530,Electrical and Electronic Equipment Assemblers,0.124332344214,0.343182914,1.0,0.88
603,Adhesive Bonding Machine Operators and Tenders,0.95,34610,16940,Adhesive Bonding Machine Operators and Tenders,0.0947702976018,0.451603289,1.0,0.88
604,Landscaping and Groundskeeping Workers,0.95,28560,906570,Landscaping and Groundskeeping Workers,0.326680672269,0.516849483,1.0,0.88
605,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.95,34920,74600,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0850515463918,0.390716139,1.0,0.88
606,Postal Service Clerks,0.95,48360,82030,Postal Service Clerks,-0.216501240695,0.403682547,1.0,0.88
607,Jewelers and Precious Stone and Metal Workers,0.95,42310,26480,Jewelers and Precious Stone and Metal Workers,-0.104467029071,0.466773685,1.0,0.88
608,"Dispatchers, Except Police, Fire, and Ambulance",0.96,41190,197910,"Dispatchers, Except Police, Fire, and Ambulance",-0.0801165331391,0.335783935,1.0,0.88
609,Receptionists and Information Clerks,0.96,29120,997770,Receptionists and Information Clerks,0.301167582418,0.278057734,0.914138528919,0.88
610,"Office Clerks, General",0.96,33010,2955550,"Office Clerks, General",0.1478339897,0.278075579,0.308605843244,0.88
611,Compensation and Benefits Managers,0.96,126900,15230,Compensation and Benefits Managers,-0.701418439716,0.197376708,1.0,0.88
612,"Switchboard Operators, Including Answering Service",0.96,29720,90910,"Switchboard Operators, Including Answering Service",0.274899057873,0.298239926,1.0,0.88
613,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0.96,21380,499550,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0.772217025257,0.317048267,1.0,0.88
614,"Rock Splitters, Quarry",0.96,34860,3770,"Rock Splitters, Quarry",0.0869191049914,0.629161091,1.0,0.88
615,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,36140,2295510,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.0484228002214,0.280227285,0.397340895923,0.88
616,Surveying and Mapping Technicians,0.96,45490,53920,Surveying and Mapping Technicians,-0.167069685645,0.389130634,1.0,0.88
617,"Model Makers, Wood",0.96,47480,1040,"Model Makers, Wood",-0.20197978096,0.397837752,1.0,0.88
618,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.96,28110,30340,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.347918890075,0.309336165,1.0,0.88
619,Locomotive Engineers,0.96,61020,39900,Locomotive Engineers,-0.379056047198,0.423718774,1.0,0.88
620,Gaming Dealers,0.96,21990,94570,Gaming Dealers,0.723055934516,0.287036937,1.0,0.88
621,"Fabric Menders, Except Garment",0.96,27670,550,"Fabric Menders, Except Garment",0.369353089989,0.471842307,1.0,0.88
622,"Cooks, Restaurant",0.96,25430,1217370,"Cooks, Restaurant",0.489972473457,0.406941257,0.749238111667,0.88
623,"Ushers, Lobby Attendants, and Ticket Takers",0.96,21740,117920,"Ushers, Lobby Attendants, and Ticket Takers",0.742870285189,0.342422532,1.0,0.88
624,Billing and Posting Clerks,0.96,37570,485220,Billing and Posting Clerks,0.00851743412297,0.292237902,1.0,0.88
625,Bridge and Lock Tenders,0.97,46680,3510,Bridge and Lock Tenders,-0.188303341902,0.494385285,1.0,0.88
626,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.97,29850,76130,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.269346733668,0.400838508,1.0,0.88
627,Team Assemblers,0.97,32550,1112780,Team Assemblers,0.164055299539,0.368706534,0.819658872374,0.88
628,Shoe Machine Operators and Tenders,0.97,26530,3500,Shoe Machine Operators and Tenders,0.428194496796,0.519431592,1.0,0.88
629,Electromechanical Equipment Assemblers,0.97,35410,45540,Electromechanical Equipment Assemblers,0.070036712793,0.417747466,1.0,0.88
630,Farm Labor Contractors,0.97,47290,810,Farm Labor Contractors,-0.198773525058,0.406993865,1.0,0.88
631,Textile Bleaching and Dyeing Machine Operators and Tenders,0.97,28480,10860,Textile Bleaching and Dyeing Machine Operators and Tenders,0.330407303371,0.559199409,1.0,0.88
632,Dental Laboratory Technicians,0.97,40760,37110,Dental Laboratory Technicians,-0.0704121687929,0.399541769,1.0,0.88
633,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.97,36050,29830,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.051040221914,0.458661012,1.0,0.88
634,"Grinding and Polishing Workers, Hand",0.97,30860,26670,"Grinding and Polishing Workers, Hand",0.227802981205,0.519847485,1.0,0.88
635,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.97,35720,25230,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.0607502799552,0.519362351,1.0,0.88
636,Log Graders and Scalers,0.97,38150,3020,Log Graders and Scalers,-0.00681520314548,0.466630525,1.0,0.88
637,Ophthalmic Laboratory Technicians,0.97,34220,28570,Ophthalmic Laboratory Technicians,0.107247223846,0.487187767,1.0,0.88
638,Cashiers,0.97,21680,3541010,Cashiers,0.747693726937,0.332294272,0.257581876357,0.88
639,Motion Picture Projectionists,0.97,24750,5480,Motion Picture Projectionists,0.530909090909,0.443543851,1.0,0.88
640,Prepress Technicians and Workers,0.97,40640,33340,Prepress Technicians and Workers,-0.0676673228346,0.359294362,1.0,0.88
641,Counter and Rental Clerks,0.97,29390,450330,Counter and Rental Clerks,0.289214018374,0.338674081,1.0,0.88
642,File Clerks,0.97,31260,130950,File Clerks,0.212092130518,0.391284748,1.0,0.88
643,Real Estate Brokers,0.97,79340,40850,Real Estate Brokers,-0.522435089488,0.296103892,1.0,0.88
644,Telephone Operators,0.97,43030,8860,Telephone Operators,-0.119451545433,0.27071339,1.0,0.88
