,Occupation,Automatability,Wage,Employment,Job_Compared,wage_Heavy_and_Tractor-Trailer_Truck_Drivers,similar_Heavy_and_Tractor-Trailer_Truck_Drivers,empl_Heavy_and_Tractor-Trailer_Truck_Drivers,auto_Heavy_and_Tractor-Trailer_Truck_Drivers
444,"Cooks, Institution and Cafeteria",0.83,26370,409850,"Cooks, Institution and Cafeteria",0.653014789534,0.385461066,1.0,0.79
445,Sailors and Marine Oilers,0.83,46170,32530,Sailors and Marine Oilers,-0.0558804418454,0.675208949,1.0,0.79
446,"Mixing and Blending Machine Setters, Operators, and Tenders",0.83,37630,130480,"Mixing and Blending Machine Setters, Operators, and Tenders",0.158384267871,0.484220664,1.0,0.79
447,"Helpers-Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.83,33610,23950,"Helpers-Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.296935435882,0.422385619,1.0,0.79
448,Segmental Pavers,0.83,34160,1720,Segmental Pavers,0.276053864169,0.514567517,1.0,0.79
449,"Insulation Workers, Floor, Ceiling, and Wall",0.83,39490,29500,"Insulation Workers, Floor, Ceiling, and Wall",0.103823752849,0.515552403,1.0,0.79
450,Printing Press Operators,0.83,37460,169910,Printing Press Operators,0.163641217298,0.429119891,1.0,0.79
451,Automotive and Watercraft Service Attendants,0.83,24280,109790,Automotive and Watercraft Service Attendants,0.795304777595,0.455795728,1.0,0.79
452,Septic Tank Servicers and Sewer Pipe Cleaners,0.83,38870,26320,Septic Tank Servicers and Sewer Pipe Cleaners,0.121430409056,0.723831212,1.0,0.79
453,Baggage Porters and Bellhops,0.83,24910,44750,Baggage Porters and Bellhops,0.749899638699,0.429085077,1.0,0.79
454,Gaming Change Persons and Booth Cashiers,0.83,25940,23120,Gaming Change Persons and Booth Cashiers,0.680416345412,0.395986077,1.0,0.79
455,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.83,41900,29060,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.0403341288783,0.487067731,1.0,0.79
456,"Paving, Surfacing, and Tamping Equipment Operators",0.83,43800,51880,"Paving, Surfacing, and Tamping Equipment Operators",-0.00479452054795,0.60053274,1.0,0.79
457,Tool and Die Makers,0.84,51610,72210,Tool and Die Makers,-0.155396241039,0.351086887,1.0,0.79
458,Electrical and Electronics Engineering Technicians,0.84,62950,134870,Electrical and Electronics Engineering Technicians,-0.307545671168,0.379587896,1.0,0.79
459,Plasterers and Stucco Masons,0.84,44070,22810,Plasterers and Stucco Masons,-0.0108917631042,0.454272798,1.0,0.79
460,"Layout Workers, Metal and Plastic",0.84,47720,9070,"Layout Workers, Metal and Plastic",-0.0865465213747,0.381074775,1.0,0.79
461,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.84,39630,33850,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0999242997729,0.509209599,1.0,0.79
462,Security Guards,0.84,29730,1103120,Security Guards,0.466195761857,0.430727159,1.0,0.79
463,"Tailors, Dressmakers, and Custom Sewers",0.84,30670,21660,"Tailors, Dressmakers, and Custom Sewers",0.421258558852,0.446382161,1.0,0.79
464,Wellhead Pumpers,0.84,50730,11610,Wellhead Pumpers,-0.14074512123,0.4936891,1.0,0.79
465,Proofreaders and Copy Markers,0.84,39640,11430,Proofreaders and Copy Markers,0.0996468213925,0.241519116,1.0,0.79
466,Parking Enforcement Workers,0.84,39650,8920,Parking Enforcement Workers,0.099369482976,0.488527488,1.0,0.79
467,"Laborers and Freight, Stock, and Material Movers, Hand",0.85,28720,2587900,"Laborers and Freight, Stock, and Material Movers, Hand",0.517757660167,0.474621741,0.658649870551,0.79
468,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.85,68410,1404050,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",-0.36281245432,0.285814803,1.0,0.79
469,"Meter Readers, Utilities",0.85,41890,34070,"Meter Readers, Utilities",0.0405824779184,0.608843932,1.0,0.79
470,Power Plant Operators,0.85,73800,35010,Power Plant Operators,-0.409349593496,0.500940825,1.0,0.79
471,Chemical Plant and System Operators,0.85,59430,33300,Chemical Plant and System Operators,-0.266532054518,0.452348091,1.0,0.79
472,"Earth Drillers, Except Oil and Gas",0.85,51240,18500,"Earth Drillers, Except Oil and Gas",-0.149297423888,0.628149606,1.0,0.79
473,Nuclear Technicians,0.85,77820,6840,Nuclear Technicians,-0.439861218196,0.41077136,1.0,0.79
474,Executive Secretaries and Executive Administrative Assistants,0.86,57910,631610,Executive Secretaries and Executive Administrative Assistants,-0.247280262476,0.290033671,1.0,0.79
475,"Plant and System Operators, All Other",0.86,55340,11970,"Plant and System Operators, All Other",-0.212323816408,0.483738948,1.0,0.79
476,"Food Servers, Nonrestaurant",0.86,23490,261520,"Food Servers, Nonrestaurant",0.855683269476,0.369766038,1.0,0.79
477,"Sawing Machine Setters, Operators, and Tenders, Wood",0.86,29960,50640,"Sawing Machine Setters, Operators, and Tenders, Wood",0.454939919893,0.408864107,1.0,0.79
478,Subway and Streetcar Operators,0.86,62380,12350,Subway and Streetcar Operators,-0.301218339211,0.662744434,1.0,0.79
479,Veterinary Assistants and Laboratory Animal Caretakers,0.86,26810,79990,Veterinary Assistants and Laboratory Animal Caretakers,0.625885863484,0.358571302,1.0,0.79
480,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.86,34000,61330,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.282058823529,0.471002531,1.0,0.79
481,Real Estate Sales Agents,0.86,59360,151840,Real Estate Sales Agents,-0.265667115903,0.294562991,1.0,0.79
482,"Computer-Controlled Machine Tool Operators, Metal and Plastic",0.86,39590,146190,"Computer-Controlled Machine Tool Operators, Metal and Plastic",0.101035615054,0.398830199,1.0,0.79
483,"Maintenance Workers, Machinery",0.86,46000,89630,"Maintenance Workers, Machinery",-0.0523913043478,0.477536455,1.0,0.79
484,Correspondence Clerks,0.86,37660,6780,Correspondence Clerks,0.15746149761,0.29965561,1.0,0.79
485,Forest and Conservation Workers,0.87,31200,7170,Forest and Conservation Workers,0.397115384615,0.467426665,1.0,0.79
486,"Pourers and Casters, Metal",0.87,37300,8560,"Pourers and Casters, Metal",0.168632707775,0.403817392,1.0,0.79
487,Carpet Installers,0.87,44310,25660,Carpet Installers,-0.0162491536899,0.464516582,1.0,0.79
488,Paperhangers,0.87,36470,3190,Paperhangers,0.195228955306,0.400623572,1.0,0.79
489,"Buyers and Purchasing Agents, Farm Products",0.87,63910,11490,"Buyers and Purchasing Agents, Farm Products",-0.317947113128,0.322730859,1.0,0.79
490,Furniture Finishers,0.87,32330,17370,Furniture Finishers,0.348283328178,0.516627085,1.0,0.79
491,Food Preparation Workers,0.87,22920,850670,Food Preparation Workers,0.901832460733,0.407415166,1.0,0.79
492,Floor Sanders and Finishers,0.87,38890,4590,Floor Sanders and Finishers,0.120853689895,0.520038359,1.0,0.79
493,Parking Lot Attendants,0.87,23250,146350,Parking Lot Attendants,0.874838709677,0.482979828,1.0,0.79
494,Highway Maintenance Workers,0.87,39540,143320,Highway Maintenance Workers,0.102427921093,0.638650852,1.0,0.79
495,Construction Laborers,0.88,37890,912100,Construction Laborers,0.150435471101,0.498261041,1.0,0.79
496,"Production, Planning, and Expediting Clerks",0.88,49050,321780,"Production, Planning, and Expediting Clerks",-0.111314984709,0.342683625,1.0,0.79
497,Semiconductor Processors,0.88,37890,24430,Semiconductor Processors,0.150435471101,0.480096247,1.0,0.79
498,Cartographers and Photogrammetrists,0.88,66160,12100,Cartographers and Photogrammetrists,-0.341142684401,0.314797839,1.0,0.79
499,Metal-Refining Furnace Operators and Tenders,0.88,41840,17730,Metal-Refining Furnace Operators and Tenders,0.0418260038241,0.389875655,1.0,0.79
500,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.88,41450,47160,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.0516284680338,0.51117056,1.0,0.79
501,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.88,35420,19340,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.230660643704,0.486259154,1.0,0.79
502,Terrazzo Workers and Finishers,0.88,45990,3420,Terrazzo Workers and Finishers,-0.0521852576647,0.408186073,1.0,0.79
503,"Tool Grinders, Filers, and Sharpeners",0.88,38860,9550,"Tool Grinders, Filers, and Sharpeners",0.121718991251,0.520420591,1.0,0.79
504,Rail Car Repairers,0.88,53590,22090,Rail Car Repairers,-0.186601977981,0.545947139,1.0,0.79
505,Bakers,0.89,27110,180450,Bakers,0.607893766138,0.409055171,1.0,0.79
506,Medical Transcriptionists,0.89,37150,54070,Medical Transcriptionists,0.1733512786,0.24450429,1.0,0.79
507,Stonemasons,0.89,43650,13190,Stonemasons,-0.00137457044674,0.408334219,1.0,0.79
508,"Bus Drivers, School or Special Client",0.89,31110,515020,"Bus Drivers, School or Special Client",0.401157184185,0.523907791,1.0,0.79
509,Technical Writers,0.89,73160,49780,Technical Writers,-0.40418261345,0.2883404,1.0,0.79
510,Riggers,0.89,49030,21020,Riggers,-0.110952478075,0.476718255,1.0,0.79
511,Rail-Track Laying and Maintenance Equipment Operators,0.89,52810,14250,Rail-Track Laying and Maintenance Equipment Operators,-0.174588146184,0.608047608,1.0,0.79
512,Stationary Engineers and Boiler Operators,0.89,61410,33720,Stationary Engineers and Boiler Operators,-0.29018075232,0.46052046,1.0,0.79
513,Sewing Machine Operators,0.89,25830,139500,Sewing Machine Operators,0.687572590012,0.399043435,1.0,0.79
514,Taxi Drivers and Chauffeurs,0.89,26790,188860,Taxi Drivers and Chauffeurs,0.627099664054,0.550967793,1.0,0.79
515,"Human Resources Assistants, Except Payroll and Timekeeping",0.9,40100,137150,"Human Resources Assistants, Except Payroll and Timekeeping",0.0870324189526,0.263979843,1.0,0.79
516,Medical and Clinical Laboratory Technologists,0.9,62440,166730,Medical and Clinical Laboratory Technologists,-0.301889814222,0.337975208,1.0,0.79
517,Reinforcing Iron and Rebar Workers,0.9,53600,20020,Reinforcing Iron and Rebar Workers,-0.186753731343,0.395235651,1.0,0.79
518,Roofers,0.9,42080,116410,Roofers,0.0358840304183,0.458158936,1.0,0.79
519,Crane and Tower Operators,0.9,55280,45020,Crane and Tower Operators,-0.211468885673,0.59969104,1.0,0.79
520,Traffic Technicians,0.9,48650,6410,Traffic Technicians,-0.104008221994,0.428089352,1.0,0.79
521,Transportation Inspectors,0.9,72650,27430,Transportation Inspectors,-0.4,0.554369071,1.0,0.79
522,"Patternmakers, Metal and Plastic",0.9,44490,3420,"Patternmakers, Metal and Plastic",-0.0202292650034,0.395055918,1.0,0.79
523,"Molders, Shapers, and Casters, Except Metal and Plastic",0.9,32590,39450,"Molders, Shapers, and Casters, Except Metal and Plastic",0.337526848727,0.473864414,1.0,0.79
524,Appraisers and Assessors of Real Estate,0.9,58030,60770,Appraisers and Assessors of Real Estate,-0.248836808547,0.328322135,1.0,0.79
525,"Pump Operators, Except Wellhead Pumpers",0.9,46270,12030,"Pump Operators, Except Wellhead Pumpers",-0.0579208990707,0.534778941,1.0,0.79
526,Signal and Track Switch Repairers,0.9,62710,8680,Signal and Track Switch Repairers,-0.304895550949,0.418753956,1.0,0.79
527,Gaming and Sports Book Writers and Runners,0.91,25710,11460,Gaming and Sports Book Writers and Runners,0.69544924154,0.352984591,1.0,0.79
528,Musical Instrument Repairers and Tuners,0.91,37690,7980,Musical Instrument Repairers and Tuners,0.156540196339,0.424888927,1.0,0.79
529,Tour Guides and Escorts,0.91,28100,38660,Tour Guides and Escorts,0.551245551601,0.328389007,1.0,0.79
530,Mechanical Door Repairers,0.91,40420,19840,Mechanical Door Repairers,0.078426521524,0.449345427,1.0,0.79
531,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.91,30970,20080,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.407491120439,0.469734802,1.0,0.79
532,Gas Compressor and Gas Pumping Station Operators,0.91,59620,3890,Gas Compressor and Gas Pumping Station Operators,-0.268869506877,0.424638482,1.0,0.79
533,Medical Records and Health Information Technicians,0.91,41460,200140,Medical Records and Health Information Technicians,0.0513748191027,0.319192857,1.0,0.79
534,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.91,34460,85760,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.26494486361,0.416448989,1.0,0.79
535,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.91,36190,117300,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.204476374689,0.468667639,1.0,0.79
536,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.91,52320,4530,"Rail Yard Engineers, Dinkey Operators, and Hostlers",-0.166857798165,0.677779801,1.0,0.79
537,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.91,59840,13960,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.271557486631,0.430423465,1.0,0.79
538,Dining Room and Cafeteria Attendants and Bartender Helpers,0.91,22340,423080,Dining Room and Cafeteria Attendants and Bartender Helpers,0.951208594449,0.344559677,1.0,0.79
539,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.91,39010,19780,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.117405793386,0.457631637,1.0,0.79
540,Geological and Petroleum Technicians,0.91,62240,15100,Geological and Petroleum Technicians,-0.299646529563,0.418643133,1.0,0.79
541,Automotive Body and Related Repairers,0.91,45180,143940,Automotive Body and Related Repairers,-0.035192563081,0.54458824,1.0,0.79
542,"Patternmakers, Wood",0.91,47850,970,"Patternmakers, Wood",-0.0890282131661,0.352653409,1.0,0.79
543,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.91,35340,71960,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.233446519525,0.438891186,1.0,0.79
544,Pharmacy Technicians,0.92,32170,398390,Pharmacy Technicians,0.354989120298,0.330727064,1.0,0.79
545,Loan Interviewers and Clerks,0.92,40300,224340,Loan Interviewers and Clerks,0.0816377171216,0.266412974,1.0,0.79
546,Dredge Operators,0.92,46530,1760,Dredge Operators,-0.0631850419084,0.506708463,1.0,0.79
547,Insurance Sales Agents,0.92,67760,385700,Insurance Sales Agents,-0.356700118064,0.23962426,1.0,0.79
548,Cabinetmakers and Bench Carpenters,0.92,34800,97980,Cabinetmakers and Bench Carpenters,0.252586206897,0.372721373,1.0,0.79
549,"Painting, Coating, and Decorating Workers",0.92,32040,15450,"Painting, Coating, and Decorating Workers",0.360486891386,0.368919816,1.0,0.79
550,Fence Erectors,0.92,36380,21500,Fence Erectors,0.198185816383,0.486782902,1.0,0.79
551,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0.92,33690,35570,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0.293855743544,0.472699293,1.0,0.79
552,Retail Salespersons,0.92,27180,4528550,Retail Salespersons,0.603752759382,0.346274411,0.376394210067,0.79
553,"Combined Food Preparation and Serving Workers, Including Fast Food",0.92,20460,3426090,"Combined Food Preparation and Serving Workers, Including Fast Food",1.13049853372,0.345031134,0.497511740789,0.79
554,Helpers-Carpenters,0.92,30200,35890,Helpers-Carpenters,0.443377483444,0.444734584,1.0,0.79
555,Cooling and Freezing Equipment Operators and Tenders,0.93,32100,8170,Cooling and Freezing Equipment Operators and Tenders,0.357943925234,0.455078541,1.0,0.79
556,Fiberglass Laminators and Fabricators,0.93,33020,19400,Fiberglass Laminators and Fabricators,0.320109024833,0.426225524,1.0,0.79
557,"Service Unit Operators, Oil, Gas, and Mining",0.93,53520,42890,"Service Unit Operators, Oil, Gas, and Mining",-0.185538116592,0.47729212,1.0,0.79
558,Conveyor Operators and Tenders,0.93,33870,28590,Conveyor Operators and Tenders,0.286979627989,0.491521519,1.0,0.79
559,Outdoor Power Equipment and Other Small Engine Mechanics,0.93,35320,33020,Outdoor Power Equipment and Other Small Engine Mechanics,0.234144960362,0.48502196,1.0,0.79
560,Locomotive Firers,0.93,63750,1210,Locomotive Firers,-0.316235294118,0.657670493,1.0,0.79
561,Machine Feeders and Offbearers,0.93,30490,88070,Machine Feeders and Offbearers,0.429649065267,0.489147348,1.0,0.79
562,"Model Makers, Metal and Plastic",0.93,50360,6250,"Model Makers, Metal and Plastic",-0.134432088959,0.347961733,1.0,0.79
563,"Radio, Cellular, and Tower Equipment Installers and Repairs",0.93,53620,14120,"Radio, Cellular, and Tower Equipment Installers and Repairs",-0.187057068258,0.383006373,1.0,0.79
564,Butchers and Meat Cutters,0.93,31740,133880,Butchers and Meat Cutters,0.373345935728,0.381431583,1.0,0.79
565,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.93,34370,71260,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.268257201047,0.513350849,1.0,0.79
566,Refuse and Recyclable Material Collectors,0.93,37690,114680,Refuse and Recyclable Material Collectors,0.156540196339,0.6946427,1.0,0.79
567,"Tax Examiners and Collectors, and Revenue Agents",0.93,57950,58450,"Tax Examiners and Collectors, and Revenue Agents",-0.247799827437,0.276823893,1.0,0.79
568,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.93,38710,19160,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.12606561612,0.476933283,1.0,0.79
569,Industrial Truck and Tractor Operators,0.93,34260,542750,Industrial Truck and Tractor Operators,0.272329246935,0.588884203,1.0,0.79
570,Accountants and Auditors,0.94,76730,1246540,Accountants and Auditors,-0.431904079239,0.228820752,1.0,0.79
571,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.94,38880,12290,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.121141975309,0.489510984,1.0,0.79
572,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.94,30580,91530,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.42544146501,0.471408033,1.0,0.79
573,Waiters and Waitresses,0.94,24410,2564610,Waiters and Waitresses,0.785743547726,0.31835959,0.664631269472,0.79
574,"Meat, Poultry, and Fish Cutters and Trimmers",0.94,25510,149800,"Meat, Poultry, and Fish Cutters and Trimmers",0.708741669933,0.383679234,1.0,0.79
575,Budget Analysts,0.94,77170,54700,Budget Analysts,-0.435143190359,0.234233946,1.0,0.79
576,Cement Masons and Concrete Finishers,0.94,43720,173920,Cement Masons and Concrete Finishers,-0.00297346752059,0.416207724,1.0,0.79
577,Bicycle Repairers,0.94,28520,12560,Bicycle Repairers,0.52840112202,0.396548026,1.0,0.79
578,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.94,34860,33600,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.250430292599,0.502236585,1.0,0.79
579,"Welders, Cutters, Solderers, and Brazers",0.94,42450,382730,"Welders, Cutters, Solderers, and Brazers",0.0268551236749,0.433079974,1.0,0.79
580,Couriers and Messengers,0.94,29920,74120,Couriers and Messengers,0.456885026738,0.471450023,1.0,0.79
581,"Interviewers, Except Eligibility and Loan",0.94,33640,186030,"Interviewers, Except Eligibility and Loan",0.295778834721,0.328047424,1.0,0.79
582,"Cooks, Short Order",0.94,23130,183990,"Cooks, Short Order",0.884565499351,0.352215339,1.0,0.79
583,Excavating and Loading Machine and Dragline Operators,0.94,45230,48320,Excavating and Loading Machine and Dragline Operators,-0.0362591200531,0.540540955,1.0,0.79
584,"Helpers-Painters, Paperhangers, Plasterers, and Stucco Masons",0.94,28760,10780,"Helpers-Painters, Paperhangers, Plasterers, and Stucco Masons",0.515646731572,0.395545525,1.0,0.79
585,"Hotel, Motel, and Resort Desk Clerks",0.94,23530,248440,"Hotel, Motel, and Resort Desk Clerks",0.852528686783,0.353822992,1.0,0.79
586,Tire Builders,0.94,42230,22280,Tire Builders,0.0322045938906,0.386573476,1.0,0.79
587,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.94,28630,8040,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.522528815927,0.244771099,1.0,0.79
588,First-Line Supervisors of Housekeeping and Janitorial Workers,0.94,41240,161140,First-Line Supervisors of Housekeeping and Janitorial Workers,0.0569835111542,0.459310079,1.0,0.79
589,Agricultural Inspectors,0.94,44260,14710,Agricultural Inspectors,-0.0151378219611,0.388611061,1.0,0.79
590,Paralegals and Legal Assistants,0.94,53180,277310,Paralegals and Legal Assistants,-0.180330951486,0.259081328,1.0,0.79
591,Manicurists and Pedicurists,0.95,24330,90630,Manicurists and Pedicurists,0.791615289766,0.343230523,1.0,0.79
592,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.95,31080,74460,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.40250965251,0.34398567,1.0,0.79
593,"Textile Cutting Machine Setters, Operators, and Tenders",0.95,27860,15040,"Textile Cutting Machine Setters, Operators, and Tenders",0.564608758076,0.498040467,1.0,0.79
594,Bill and Account Collectors,0.95,37620,298960,Bill and Account Collectors,0.158692185008,0.264909545,1.0,0.79
595,Nuclear Power Reactor Operators,0.95,91370,7170,Nuclear Power Reactor Operators,-0.522928751231,0.312091991,1.0,0.79
596,Gaming Surveillance Officers and Gaming Investigators,0.95,35280,10460,Gaming Surveillance Officers and Gaming Investigators,0.235544217687,0.345063132,1.0,0.79
597,"Library Assistants, Clerical",0.95,27450,98560,"Library Assistants, Clerical",0.587978142077,0.332437974,1.0,0.79
598,Operating Engineers and Other Construction Equipment Operators,0.95,50560,356750,Operating Engineers and Other Construction Equipment Operators,-0.137856012658,0.531522529,1.0,0.79
599,Print Binding and Finishing Workers,0.95,33270,52730,Print Binding and Finishing Workers,0.310189359784,0.470723298,1.0,0.79
600,Animal Breeders,0.95,42340,1270,Animal Breeders,0.029522909778,0.372269736,1.0,0.79
601,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.95,32660,145560,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.334660134721,0.441389264,1.0,0.79
602,Electrical and Electronic Equipment Assemblers,0.95,33700,218530,Electrical and Electronic Equipment Assemblers,0.293471810089,0.384030676,1.0,0.79
603,Adhesive Bonding Machine Operators and Tenders,0.95,34610,16940,Adhesive Bonding Machine Operators and Tenders,0.259462583068,0.525147367,1.0,0.79
604,Landscaping and Groundskeeping Workers,0.95,28560,906570,Landscaping and Groundskeeping Workers,0.526260504202,0.493859081,1.0,0.79
605,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.95,34920,74600,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.248281786942,0.444026829,1.0,0.79
606,Postal Service Clerks,0.95,48360,82030,Postal Service Clerks,-0.098635235732,0.429887158,1.0,0.79
607,Jewelers and Precious Stone and Metal Workers,0.95,42310,26480,Jewelers and Precious Stone and Metal Workers,0.0302528952966,0.455340521,1.0,0.79
608,"Dispatchers, Except Police, Fire, and Ambulance",0.96,41190,197910,"Dispatchers, Except Police, Fire, and Ambulance",0.0582665695557,0.364151585,1.0,0.79
609,Receptionists and Information Clerks,0.96,29120,997770,Receptionists and Information Clerks,0.496909340659,0.30564377,1.0,0.79
610,"Office Clerks, General",0.96,33010,2955550,"Office Clerks, General",0.320508936686,0.312916311,0.57671837729,0.79
611,Compensation and Benefits Managers,0.96,126900,15230,Compensation and Benefits Managers,-0.656501182033,0.205092588,1.0,0.79
612,"Switchboard Operators, Including Answering Service",0.96,29720,90910,"Switchboard Operators, Including Answering Service",0.46668909825,0.339492174,1.0,0.79
613,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0.96,21380,499550,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1.03882132834,0.339421936,1.0,0.79
614,"Rock Splitters, Quarry",0.96,34860,3770,"Rock Splitters, Quarry",0.250430292599,0.518274598,1.0,0.79
615,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.96,36140,2295510,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.206142778085,0.311215558,0.7425452296,0.79
616,Surveying and Mapping Technicians,0.96,45490,53920,Surveying and Mapping Technicians,-0.0417674214113,0.396573145,1.0,0.79
617,"Model Makers, Wood",0.96,47480,1040,"Model Makers, Wood",-0.0819292333614,0.308456722,1.0,0.79
618,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.96,28110,30340,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.550693703308,0.401864826,1.0,0.79
619,Locomotive Engineers,0.96,61020,39900,Locomotive Engineers,-0.285644051131,0.678935789,1.0,0.79
620,Gaming Dealers,0.96,21990,94570,Gaming Dealers,0.982264665757,0.310273909,1.0,0.79
621,"Fabric Menders, Except Garment",0.96,27670,550,"Fabric Menders, Except Garment",0.575352367185,0.392613801,1.0,0.79
622,"Cooks, Restaurant",0.96,25430,1217370,"Cooks, Restaurant",0.714117184428,0.405933562,1.0,0.79
623,"Ushers, Lobby Attendants, and Ticket Takers",0.96,21740,117920,"Ushers, Lobby Attendants, and Ticket Takers",1.00505979761,0.357512163,1.0,0.79
624,Billing and Posting Clerks,0.96,37570,485220,Billing and Posting Clerks,0.160234229438,0.310265335,1.0,0.79
625,Bridge and Lock Tenders,0.97,46680,3510,Bridge and Lock Tenders,-0.0661953727506,0.612789719,1.0,0.79
626,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.97,29850,76130,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.460301507538,0.432369492,1.0,0.79
627,Team Assemblers,0.97,32550,1112780,Team Assemblers,0.339170506912,0.384697065,1.0,0.79
628,Shoe Machine Operators and Tenders,0.97,26530,3500,Shoe Machine Operators and Tenders,0.643045608745,0.483939401,1.0,0.79
629,Electromechanical Equipment Assemblers,0.97,35410,45540,Electromechanical Equipment Assemblers,0.231008189777,0.43861263,1.0,0.79
630,Farm Labor Contractors,0.97,47290,810,Farm Labor Contractors,-0.078240642842,0.36798819,1.0,0.79
631,Textile Bleaching and Dyeing Machine Operators and Tenders,0.97,28480,10860,Textile Bleaching and Dyeing Machine Operators and Tenders,0.530547752809,0.525360551,1.0,0.79
632,Dental Laboratory Technicians,0.97,40760,37110,Dental Laboratory Technicians,0.069430814524,0.317578968,1.0,0.79
633,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.97,36050,29830,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.209153952843,0.528438527,1.0,0.79
634,"Grinding and Polishing Workers, Hand",0.97,30860,26670,"Grinding and Polishing Workers, Hand",0.412508101102,0.537482088,1.0,0.79
635,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.97,35720,25230,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.22032474804,0.539516719,1.0,0.79
636,Log Graders and Scalers,0.97,38150,3020,Log Graders and Scalers,0.142595019659,0.469165945,1.0,0.79
637,Ophthalmic Laboratory Technicians,0.97,34220,28570,Ophthalmic Laboratory Technicians,0.27381648159,0.487548258,1.0,0.79
638,Cashiers,0.97,21680,3541010,Cashiers,1.01060885609,0.339437543,0.481365486118,0.79
639,Motion Picture Projectionists,0.97,24750,5480,Motion Picture Projectionists,0.761212121212,0.527503541,1.0,0.79
640,Prepress Technicians and Workers,0.97,40640,33340,Prepress Technicians and Workers,0.0725885826772,0.38926193,1.0,0.79
641,Counter and Rental Clerks,0.97,29390,450330,Counter and Rental Clerks,0.483157536577,0.34932724,1.0,0.79
642,File Clerks,0.97,31260,130950,File Clerks,0.39443378119,0.36798819,1.0,0.79
